Didascalia;Tipologia Punto di interesse;Denominazione;Comune;Indirizzo;Civico;Telefono;Email;Sito Web;Latitudine;Longitudine;Orario di Apertura
Prospetto interno e sculture ornamentali di Palazzo Pianetti;Architettura e paesaggio;Palazzo Pianetti;JESI;Via XV Settembre;10;0731.538342 / 538343;pinacoteca@comune.jesi.an.it;;43.5213;13.2422;
Rocca Roveresca di Mondavio;Architettura e paesaggio;Rocca Roveresca;MONDAVIO;Piazza Giovanni della Rovere;s.n.c.;0721.97102;;;43.6745;12.9684;
Gabicce monte;Architettura e paesaggio;Gabicce Monte;GABICCE MARE;Via C. Battisti;66;0541.953101;comune.gabicce@provincia.ps.it;www.comune.gabicce-mare.ps.it;43.9649;12.7564;
La costarella - Vicolo tradizionale dei pescatori;Architettura e paesaggio;Numana Alta;NUMANA;Piazza del Santuario;24;071.9339821;info@turismonumana.it;www.turismonumana.it;43.5113;13.6214;
Piazza del Popolo;Architettura e paesaggio;Piazza del Popolo;PESARO;Piazza del Popolo;s.n.c.;;;www.turismopesaro.it;43.9098;12.9127;
Veduta notturna di Piazza Leopardi;Architettura e paesaggio;Piazza Leopardi;RECANATI;Piazza Leopardi;s.n.c.;;;;43.3993;13.5527;
Rocca di Sassocorvaro al tramonto;Architettura e paesaggio;Rocca Ubaldinesca;SASSOCORVARO;Piazza Battelli;s.n.c;0722.76177;;www.comune.sassocorvaro.pu.it;43.7808;12.4957;
Rocca Roveresca di Senigallia;Architettura e paesaggio;Rocca Roveresca;SENIGALLIA;Piazza del Duca;s.n.c;071.63258;iat.senigallia@provincia.ancona.it;;43.715;13.2198;8.30 - 19.30 tutti i giorni
Senigallia - Rotonda a mare con fuochi d'artificio;Architettura e paesaggio;Rotonda a mare;SENIGALLIA;Piazzale della Libertà;;071.60322 - 335.1776042;turismo@comune.senigallia.an.it;http://www.comune.senigallia.an.it;43.7164;13.226;Dal 23 giugno al 1 luglio: dalle 18.00 alle 22.00<br/>Dal 02 al 13 luglio: dalle 18.00 alle 24.00<br/>Dal 14 luglio al 26 agosto: dalle 18.00 alle 01.00<br/>Dal 27 agosto al 9 settembre: dalle 18.00 alle 22.00<br/>
Borgo;Architettura e paesaggio;Sirolo;SIROLO;Piazza G da Sirolo;1;071.9330572;info@turismosirolo.it;www.turismosirolo.it;43.5231;13.6189;
Castello della Rancia;Architettura e paesaggio;Castello della Rancia;TOLENTINO;Contrada Rancia;s.n.c.;348.0883989;;www.tolentinoturismo.it?;43.2309;13.3558;
Veduta di Torre di Palme;Architettura e paesaggio;Torre di Palme;FERMO;Via Mazzini;4;0734.2841;comune.fermo@emarche.it;www.fermo.net;43.1656;13.7242;
Produzione di terrecotte;Architettura e paesaggio;La produzione di terrecotte a Barchi;BARCHI;Piazza Vittorio Emanuele;7;0721.97152;;www.comune.barchi.pu.it;43.6713;12.9325;
Grotta Ricotti;Storie e leggende;Grotte di Camerano;CAMERANO;Ufficio Iat, via Maratti;37;071.7304018;info@turismocamerano.it;www.turismocamerano.it;43.5302;13.5537;
Parco del Colle dell'Infinito;Storie e leggende;Il Colle dell'Infinito;RECANATI;via Leopardi;14;071.7573380;biglietteria@giacomoleopardi.it;www.giacomoleopardi.it;43.3982;13.5521;Autunno ? inverno   9,30-12,30 - 14,30-17,30 Primavera ? estate  9,00-18,00 Giorni di chiusura: 25 Dicembre e 1 Gennaio.
Entrata della Grotta della Sibilla;Storie e leggende;La Grotta della Sibilla;MONTEMONACO;;;0737.972711;parco@sibillini.net;www.sibillini.net;42.9302;13.0877;
Offagna, storia e natura;Storie e leggende;Offagna, il fantasma di Paora;OFFAGNA;Ufficio turistico di Offagna, via dell'Arengo;32;071.7107552;offagna@festemedievali.it;www.offagna.org;43.5271;13.4408;
Grotte di Osimo;Storie e leggende;Grotte di Osimo;OSIMO;Ufficio Turismo, Piazza del Comune;1;071.7249253;turismo@comune.osimo.an.it;www.osimoturismo.it;43.4861;13.4824;
Veduta notturna del Castello di Gradara;Storie e leggende;L?amore sfortunato di Paolo e Francesca;GRADARA;P.za 5 Novembre;1;0541.964115;info@gradara.org;www.gradara.org;43.9416;12.7734;
Borgo antico, il castello e la torre di Pierosara;Storie e leggende;La storia di Piero e Sara;GENGA;Località Pierosara;;0732.973014;info@turismo.comunedigenga.it;http://turismo.comunedigenga.it;43.4097;12.9717;
Ritratto di Gaspare Spontini, opera di Louis Hersent;Storie e leggende;Il celebre compositore Gaspare Spontini;MAIOLATI SPONTINI;Largo Pastori;1;0731.206888;;www.fondazionepergolesispontini.com;43.4753;13.1165;
Città di Acquaviva Picena;Tradizioni;Acquaviva Picena - Sponsalia;ACQUAVIVA PICENA;Via San Rocco;7;0375.764115;sponsalia@paliodelduca.it;www.paliodelduca.it;42.9448;13.8126;Fine di luglio e gli inizi di agosto
Sfilata di carri allegorici del Carnevale de li Paniccia';Tradizioni;Amandola - Il Carnevale de li Paniccia';AMANDOLA;Via XX Settembre;9;0736.848706 - 334.9391777;proamadola@gmail.com;www.prolocoamandola.org;42.9792;13.3588;
Festa delle Canestrelle ad Amandola;Tradizioni;Amandola - Festa delle Canestrelle;AMANDOLA;Piazza Risorgimento;17;
Carnevale ascolano in Piazza Arrigo;Tradizioni;Carnevale di Ascoli;ASCOLI PICENO;Piazza Arringo;1;0736.244971;info@ilcarnevalediascoli.it;www.ilcarnevalediascoli.it;42.8554;13.575;
Torneo Cavalleresco Castel Clementino;Tradizioni;Servigliano - Torneo Cavalleresco Castel Clementino;SERVIGLIANO;Piazza Roma;2;0734.750583;segreteria@torneocavalleresco.it;www.torneocavalleresco.it;43.0816;13.4931;
La Battaglia di Tolentino;Tradizioni;Tolentino - Tolentino 815;TOLENTINO;Via Nazionale;2;0733.960778;info@tolentino815.it;www.tolentino815.it;43.2098;13.2887;Fine aprile e primi maggio
Il Giuoco dell'Oca;Tradizioni;Cagli - Giuoco dell?Oca;CAGLI;Via Marconi;5;0721.781646;info@giochistoricicagli.it;www.giochistoricicagli.it;43.5468;12.6485;
La Passione del Venerdì Santo;Tradizioni;Cantiano - La Turba;CANTIANO;Piazza Luceoli;1;0721.788321;;;43.4761;12.6273;
Infiorata Corpus Domini;Tradizioni;Comune di Castelraimondo;CASTELRAIMONDO;Piazza della Repubblica;12;0737.641724;comune@castelraimondo.sinp.net - proloco_castelraimondo@tin.it;http://www.comune.castelraimondo.mc.it/?page_id=42&ida=;43.2099;13.0577;
Città di Cingoli;Tradizioni;Cingoli - Cingoli 1848;CINGOLI;Via Pio VIII;38;389.1958927;info@cingoli1848.it;www.cingoli1848.it;43.3764;13.2018;Agosto
Contasa della Margutta, Corridonia;Tradizioni;Corridonia - Contasa della Margutta;CORRIDONIA;Rampa dei Procaccini;46;0733.433307;contesadellamargutta@ibero.it;www.contesadellamargutta.jimdo.com;43.2491;13.5095;Prima domenica di settembre
Infiorata del Corpus Domini;Tradizioni;Infiorata di Corridonia;CORRIDONIA;Piazza F. Corridoni;8;0733.439900 - 347.3317488 - 335.6966574;comune@corridonia.sinp.net;http://www.comune.corridonia.mc.it/;43.2505;13.5138;
Veduta della Piazza del Comune di Fabriano;Tradizioni;Fabriano - Palio di San Giovanni Battista;FABRIANO;Piazza Manin;10;0732.626848;info@fabrianopalio.it;www.fabrianopalio.it;43.3361;12.9047;
Maestri infioratori all'opera;Tradizioni;Infiorata di Fabriano;FABRIANO;Piazza Manin;10;0732.626848 - 366.4906966;info@fabrianopalio.it;http://www.infioratorifabriano.it/;43.3361;12.9047;
Carnevale di Fano;Tradizioni;Carnevale di Fano;FANO;Via S. Francesco d'Assisi;76;0721.8871;info@carnevaledifano.com;www.carnevaledifano.eu;43.8449;13.0169;
Infiorata di Fragarbo;Tradizioni;Infiorata di Fermignano;FERMIGNANO;Via Ca' Gianfranco;s.n.c.;0722.332142;cultura@comune.fermignano.pu.it;http://www.comune.fermignano.pu.it/index.php?id=5188;43.685;12.645;
Palio della rana;Tradizioni; Fermignano - Torneo storico del Palio della Rana;FERMIGNANO;Corso Bramante;;0722.330523;info@proloco-fermignano.it;www.proloco-fermignano.it;43.6762;12.6461;Aprile
Gran premio del Biciclo Ottocentesco;Tradizioni;Fermignano - Gran Premio del Biciclo Ottocentesco;FERMIGNANO;Corso Bramante;;0722.330523;info@proloco-fermignano.it;www.proloco-fermignano.it;43.6762;12.6461;Fine agosto inizio settembre
Il Re Carnevale alla consegna delle chiavi della città dei sei Comuni aderenti al Carnevale del Fermano;Tradizioni;Carnevale di Fermo;PORTO SANT'ELPIDIO;Via San Giovanni Bosco;26/a;0734.902107;info@fermomia.it;www.eventiculturali.org/pdf/carnevale_fermoscheda.pdf;43.2584;13.7563;
Contesa dello Stivale, Filottrano;Tradizioni;Filottrano - Contesa dello Stivale;FILOTTRANO;Via Buozzi;1;071.7220968;societadellostivale@hotmail.it;comune.filottrano.an.it;43.435;13.3512;Prima domenica di agosto
I presepi viventi;Tradizioni;I presepi viventi;GENGA;Associazione Amici del Presepe, Via Roma;4;0732.641184 - 335.5972607;info@presepedigenga.it;www.presepedigenga.it;43.4306;12.9359;
Presepe Vivente - La Natività;Tradizioni;Presepe vivente di Grottammare;GROTTAMMARE;Via Marconi;50;0735.739242-735077;cultura@comune.grottammare.ap.it;www.presepeviventegrottammare.it;42.9878;13.8689;
Città di Jesi;Tradizioni;Jesi - Palio di San Floriano;JESI;Via A.da Jesi;6;0731.56160;paliosanfloriano@aesinet.it;www.paliosanfloriano.it;43.5224;13.2456;Prima settimana di maggio
Sfilata di carri allegorici del Carnevale di Macerata;Tradizioni;Carnevale di Macerata;MACERATA;Piazza Libertà;3;0733.2561;municipio@comune.macerata.it;www.comune.macerata.it;43.8039;12.4413;
L'infiorata di Mercatello sul Metauro;Tradizioni;L'Infiorata di Mercatello sul Metauro;MERCATELLO SUL METAURO;Piazza G. Garibaldi;5;0722 800062 - 346.5148444;turismo@comune.mercatellosulmetauro.pu.it;http://www.comune.mercatellosulmetauro.pu.it/index.php?id=5385;43.6471;12.3369;
Città di Mogliano;Tradizioni;Mogliano - Mogliano 1744;MOGLIANO;Vie del centro storico;;0733.55777;promogliano@libero.it;www.promogliano.it;43.186;13.4808;Nella ricorrenza del Patrono San Giovanni Battista (fine giugno - inizio luglio)
Veduta della Rocca di Mondavio;Tradizioni;Mondavio - Caccia al Cinghiale;MONDAVIO;Piazza Matteotti;19;0721.97102;turismo@mondavioproloco.it;www.mondavioproloco.it;43.6739;12.9697;
Rievocazione della Passione di Cristo;Tradizioni;Montalto delle Marche - Rievocazione della Passione di Cristo;MONTALTO DELLE MARCHE;Piazza Umberto I;14;0736.828015;;;42.991;13.6102;
Palio dei Terzieri, Montecassiano;Tradizioni;Montecassiano - Palio dei Terzieri;MONTECASSIANO;C.so D. Alighieri;2;0733.290483;paliodeiterzieri@tiscali.it;www.paliodeiterzieri.com;43.3637;13.4362;Terza alla quarta domenica di luglio.
Infiorata di Montefiore dell'Aso;Tradizioni;Infiorata di Montefiore dell'Aso;MONTEFIORE DELL'ASO;Piazza della Repubblica;2;0734.939019;info@comune.montefioredellaso.ap.it;https://www.facebook.com/infiorata.aso - www.comune.montefioredellaso.ap.it;43.0499;13.7502;
Città di Monterubbiano;Tradizioni;Monterubbiano - Armata di Pentecoste Scià la Pica;MONTERUBBIANO;Piazza Trento e Trieste;1;0734.257396 ?333.3406441;info@armatadipentecoste.it;www.armatadipentecoste.it;43.0853;13.7168;Giorno di Pentecoste
Infiorata di Monterubbiano;Tradizioni;Infiorata di Monterubbiano;MONTERUBBIANO;Via Trento Trieste;1;0734.257396;turismomonterubbiano@libero.it;http://www.comune.monterubbiano.fm.it;43.0846;13.7198;
Cavalcata dell'Assunta;Tradizioni;Fermo - Cavalcata dell'Assunta;FERMO;Corso Cavour;32;0734.225924;info@cavalcatadellassunta.it;www.cavalcatadellassunta.it;43.1656;13.7242;
Corsa alla Spada;Tradizioni;Camerino - Corsa alla Spada;CAMERINO;Via Conti di Altino;9;0737.634702;corsaspada@camerino.sinp.net;http://www.corsaspada.it;43.1404;13.0688;
Petali di fiori lungo il centro storico;Tradizioni;Infiorata di Ortezzano;ORTEZZANO;Piazza Umberto I;4;0734.778002;comune.ortezzano@emarche.it;http://www.halleyweb.com/c044055/hh/index.php?x=ab5b9941aafb4b1311c41354244ebc13;;;
Città di Piandimeleto;Tradizioni;Piandimeleto - Palio Dei Conti Oliva;PIANDIMELETO;P.zza Conti Oliva;1;0722.721743 - 339.1837970;informazioni@paliocontioliva.it;www.paliocontioliva.it;43.7257;12.4145;
Giostra della Quintana;Tradizioni;Ascoli Piceno - Giostra della Quintana;ASCOLI PICENO;Piazza Arringo;8;0736.298223;ente.quintana@comune.ascolipiceno.it;www.comune.ascolipiceno.it;42.8554;13.575;
Contesa del Pozzo della Polenta;Tradizioni;Corinaldo - Contesa del Pozzo della Polenta;CORINALDO;Via Tarducci;21;071.679043;staff@pozzodellapolenta.it;www.pozzodellapolenta.it;43.6494;13.0484;
Feste Medievali di Offagna;Tradizioni;Offagna - Feste Medievali;OFFAGNA;Piazza del Maniero;17;071.7107552;offagna@festemedievali.it;www.festemedievali.it;43.5278;13.4417;
Città di San Ginesio;Tradizioni;Il Palio San Ginesio Associazione Tradizioni Sanginesine;SAN GINESIO;Piazza A. Gentili;46;0733.656145;tullialeoni@itiscali.it;https://it-it.facebook.com/pages/Associazione-Tradizioni-Sanginesine/119973578022499;43.1087;13.3191;dal 13 al 15 Agosto
Palio dei Castelli;Tradizioni;San Severino Marche - Palio dei Castelli;SAN SEVERINO MARCHE;Largo Croce Verde;;0733.634322;info@paliodeicastelli.org;www.paliodeicastelli.org;43.2292;13.1813;
Contesa del Secchio e Città medioevo, Sant'Elpidio a Mare;Tradizioni;Sant'Elpidio a Mare - Contesa del Secchio e Città medioevo;SANT'ELPIDIO A MARE;Piazza Matteotti;5;0734.858218;info@contesadelsecchio.it;www.contesadelsecchio.it;43.2294;13.686;
Castrum Sarnani...il Medioevo che ritorna - Una battaglia;Tradizioni;Sarnano - Castrum Sarnani...il Medioevo che ritorna;SARNANO;Via Gabella Nuova, 270;62028;3347380216;castrumsarnani@gmail.com;www.castrumsarnani.org;43.0357;13.2991;
Città di Serra Sant'Abbondio;Tradizioni;Serra Sant'Abbondio - Palio della Rocca;SERRA SANT'ABBONDIO;C.so D. Alighieri;26;0721.730657;prolocossabbondio@virgilio.it;www.ssabbondio.it;43.4915;12.7721;Il fine settimana che precede il 16 settembre
Carnevale di Offida;Tradizioni;Carnevale di Offida;OFFIDA;Corso Serpente Aureo;66;0736.889381;;www.inoffida.it;42.9367;13.7014;
Festa del Covo a Campocavallo;Tradizioni;Campocavallo - Festa del Covo;OSIMO;Via Cristoforo Colombo;128;071.7236088;iat@osimoturismo.it;www.osimoturismo.it;43.4837;13.483;
Le infiorate;Tradizioni;Le Infiorate;SERVIGLIANO;Piazza Roma;2;0734.79124;;;43.0816;13.4931;
Veduta interna della Santa Casa;Tradizioni;Festa della Venuta della Santa Casa;LORETO;Corso Boccalini;32;071.750561;;;43.4403;13.6074;
Veduta di Treia;Tradizioni;Treia - La Disfida del Bracciale;TREIA;Piazza della Repubblica;2;0733.218750;franco.capponi@alice.it;www.disfidadelbracciale.it;43.3116;13.3125;
La Festa del Duca ad Urbino;Tradizioni;Urbino - La Festa del Duca;URBINO;Via Puccinotti;3;0722.309222-309283-349.2124921;urbino.turismo@comune.urbino.ps.it;www.urbino-rievocazionistoriche.it;43.7275;12.6362;
